Chain Start,Chain End
68006924,38774096
74489987,7708061
20071141,43481449
90998748,71707819
7038213,19981099
17210391,52597997
46200553,39295895
52184979,2212945
32469404,58302389
40938415,79979154
42803877,70340630
6277059,77537657
92503767,75112238
26515632,5911657
80074749,7789186
16695100,70511924
30963108,43241481
25616311,24350604
24947182,645416
53887425,25688017
3586630,96920471
97340338,107085
70618081,817397
66374996,33848280
54260330,39307831
14826393,80306674
88152444,22251738
43033219,85541175
77140670,34545258
34947810,53733879
37494138,3799471
47640437,35063400
46348751,99063423
91055512,82177013
11415185,19379773
11648474,3599868
53500901,85609046
14497949,56497047
60934435,8338029
65752368,42571408
77759229,41042987
81953401,26885544
3291771,94500647
12618743,14499207
94588764,37883969
80001030,92252153
69344303,35871459
77235598,3754593
19503402,2068274
56238102,35441197
69198631,31726549
74482552,20154188
32543416,73469365
32395565,15356101
25045205,56498418
76679373,28427606
66005394,73239307
51638478,2772873
16262146,28374061
15145546,98024066
89774525,23876879
96922476,91515443
75353707,22269556
15113111,70450521
72491025,82553198
43456842,51567424
16615438,94361434
39103968,21429820
88233193,69829430
15442321,86076099
7244415,81809713
16824272,95354817
528141,51496954
64937588,62169317
43417480,21233727
1480742,10978891
58327787,37235440
99877987,61109681
19395415,71334236
71517953,6259342
4171424,13851226
31396038,58853085
13465632,89793795
16154908,22719864
51616219,46954660
35505714,90125547
2612522,56459578
18424530,71828606
90360266,15177386
30655107,43149866
83140396,97398689
30766187,26499029
32499175,1237321
74704589,35208583
27838809,39360107
9730336,80560977
25012583,78253481
11291922,4002884
21466781,4510989
79375,77569674
79954274,77769360
7700114,7071691
44411434,17944836
86314227,45876597
81008608,2231717
18357137,94982112
44083869,22746892
15102007,23770409
33347798,62302667
56295732,35651673
69393140,39238604
42861501,28209851
7893830,96088938
94271129,94001644
81923797,4136406
38696396,631981
61428344,94389826
6691042,70986878
10496930,47623859
17794795,48402875
13737533,96657967
14447159,7234867
91612972,68252039
57959006,66248437
29490111,22898520
20544517,49366164
28652086,7463856
19481380,8054028
33860835,11161340
19714538,23636125
8814442,43095773
49731611,57102293
75468600,86149769
34072206,39464471
77364416,60697347
38268298,69389255
20720288,18841676
46297204,53876741
28614050,85222651
58080902,49775272
79780491,98802858
73391024,98118829
79271107,92461229
94094234,26416498
32509999,49267618
88918246,69156823
87571041,60595107
84670268,19486716
40507725,19043796
4754907,68427414
51913554,67809805
70950374,68331327
75320558,36527607
39889916,79734346
9723801,98212507
76103531,77304728
77364263,82685614
30751678,5706798
54057537,63289634
74875132,23356335
79534119,90714347
53614355,75090146
94512724,56658889
80578428,47018595
26306542,95115792
3072084,8512989
74573591,95317151
23917992,6200283
19228838,18378375
52288308,24301204
89016465,30988993
2898970,93343402
47404957,67708122
29814149,2809503
8822193,28314386
96009274,33899886
14115902,11110726
29140194,5203701
74454583,19008275
57237402,2974926
2016396,7218591
67325237,91589882
71668364,17242434
96495412,4921104
69084,11435971
91590664,2583429
41759030,1564078
75189686,16690019
45777260,9970665
55214417,33189867
73757733,85837006
12986448,38446046
3179921,51840845
75938516,1818953
13049434,76524273
88098998,44327001
98053660,10375104
50558469,110233
83611649,54496800
53752861,59126645
90467253,21053310
9734834,80419005
72534048,33130251
94855012,70747377
91030822,82574796
65651160,4150566
31069851,48608711
73025371,22983132
20825937,88106103
42488204,27778207
20675151,55194671
15924955,38444098
12969691,81077348
59124098,64758629
6041156,83669995
13408199,2945498
11141329,50483322
63993412,50058099
45797587,63998728
15112893,4769915
12923051,85352585
36620448,49256912
3377046,61507817
49712751,36458274
24400653,65831105
58524016,60239378
8201012,98466337
58356535,88803232
81257837,4046557
85509391,64768348
5486590,30773888
24992808,470305
27043914,25535266
71805750,50106305
4747448,18077439
62179753,51169926
14773182,10457820
10281924,21563420
10651539,26279208
19292755,14987239
86742194,7768777
79543371,64888480
27066073,60524171
75729873,62489534
3067635,66657004
50222972,19645629
2743041,60863529
71784408,24573137
75380867,4437449
80581884,84623163
46522274,43432171
32414586,63808832
84286251,86129269
22172379,18202367
88163572,29647545
97821373,61186249
87969198,6589966
15425830,294617
98172747,55694954
66594000,12319796
79076318,96496430
11641992,3396329
13631045,4556425
57373726,78139225
69115007,51616588
99924848,90142096
47844664,64840857
87845169,73234467
12932928,60518831
81582067,31357575
16950231,25488679
35526418,95509768
85914106,59385238
24211918,8275550
68947596,43018807
70322094,18764731
55817589,17914286
70700042,44695752
10143847,26393962
60052015,74831434
57360224,56499681
19148992,31715835
38109783,39909406
67217537,83892873
53645008,10343850
2561897,35461660
8697459,312286
30857236,16982807
25487195,24350452
20627639,10027690
70223531,77769976
82530605,18498023
92223585,4774214
83389046,13452645
96916579,11793849
91685863,54285592
24266520,5742977
19584934,94440840
99153430,11005234
35340196,5240089
85206405,60213623
46777201,4187455
71989157,78330894
53670173,48647153
16253907,3261649
40057205,62968298
93075814,67789814
56832256,81507359
70452241,69857527
77669081,96466732
57153144,73820389
33469826,8464465
47508135,59469240
86082348,49884363
40851013,69425819
75508413,88311414
78590276,72351769
32704601,34713690
27312047,40524427
11514134,55270907
43295138,96886626
75787068,65449144
91792776,68736538
75257767,35330257
63567829,92057569
65985812,9354644
68741635,80720653
97113610,5736847
54436196,10192872
41715766,34663146
20221394,44827968
4871714,38702844
34663595,36372505
96762695,159618
95919899,63475527
48213255,7625747
24453960,73181033
41782068,88134691
6764146,4192125
32753851,85615238
97171282,5711925
124434,31537756
58393714,97347207
99278682,93505773
29993442,10101873
45498657,85539892
49092370,99875780
50382965,92731424
52835232,89872466
5009771,9381765
40548724,72155107
18752536,48308494
28135336,9373555
62194097,89524790
79685745,71723100
46345406,11044381
52982737,9258699
11534915,7281380
95708409,29069960
11140510,50033420
45838790,744292
5432726,73787135
14779871,7784842
1771671,76494033
94353331,79568715
60154827,81006348
35726190,80859311
40675990,7873657
97489443,30601270
59374809,46311478
32543285,59529538
10059676,86165815
97906399,38485677
14054789,99300536
67456107,26083032
81055785,34714805
29078090,44788313
10517199,47746298
58263337,89402510
60945233,13207558
38530749,41178320
47111656,81815700
14660794,83741898
73094536,70645317
7197738,45232689
61796472,3835512
77043776,99579851
22797109,67200758
71494852,59413538
9503144,3759836
73870418,59460104
90345776,33652575
6016705,6631980
68436761,48844578
10398250,5518119
95643097,74230504
57787434,73441808
32715533,10624737
96641268,46652875
17730153,66847709
81711078,23589218
19554363,4108661
31057062,77023620
91661511,8482814
32434689,98134422
15016437,51201578
79906996,71434923
64872223,52621480
21926150,66509387
57591759,47677155
16313465,58008836
22855657,49725028
53281574,55971460
12370717,40282676
51638902,99230648
24085591,97470604
34157542,70349454
70118949,82342115
71137047,1784878
65831183,10666515
57155248,2687887
5461005,64970733
48179594,20989543
90475146,78216646
23391505,73225537
21428865,20008639
73282192,99491252
58674414,50593492
90085749,12828197
9754600,28116296
19673267,74230575
60526757,43255953
38507698,52680530
40226351,22011372
39414962,40575072
82383448,21060955
85736786,23995736
72916591,26034132
5195530,20297816
82993575,64019911
17443307,92423977
62562493,5365612
98653378,5423102
27706997,91242957
47435398,82959269
91482755,47849461
54572392,69608361
35195610,81952959
35757213,26239869
97604601,61024384
80624796,76243200
1707481,7134603
48689954,41757377
47199372,86809061
90402527,20387082
64170304,88574713
16102561,23296517
87234694,84536705
13716255,21924761
82307946,67824069
32630801,8090790
47759170,93007788
99534567,40593653
84531302,31266567
95284191,58487796
30102382,66507306
39201981,89716726
66308722,53593807
52407162,99493223
862900,7273159
67253847,32703531
52524341,67381517
41937564,37775622
16825977,6231808
96691104,65943827
15659133,1635326
78063385,50613281
86544628,94857560
54698668,9122855
49218330,51149910
31130915,8778718
55752192,87024960
53643060,97319272
88192517,67075427
93703624,43989394
27874561,50024092
46852137,8567366
9862963,60026210
44182523,65452925
58978777,32680795
28211192,17507334
66320797,8752285
99361,90761226
45467080,32264333
10909656,40575608
82761687,93907922
42836095,5608244
61601765,69626834
47523312,29539002
76313916,56916902
20806575,70110984
58501654,1246417
23672502,8785520
39510545,61337568
71986587,66320849
23044321,10579530
42455577,18936714
77685456,39017863
17888132,9380456
42008437,8512124
54580676,24851159
87751256,75565189
72432547,99620301
45269947,8085332
75245726,36328028
98705774,86677307
86088777,64261178
61592122,91924870
31300004,79914676
59914103,92140919
24454420,2546716
57467096,1218023
35948919,9879737
93556843,71783475
94022869,85542389
47097566,41278494
92376632,19759899
57574924,86726940
29338138,4008312
6891764,86961007
37466814,3196126
27034905,99617646
12022494,16526823
97804756,6579392
74287730,69774278
39314520,31054680
87202157,41722411
98714766,57113469
33653038,76035740
51980262,72513027
17020567,44004940
12410250,21737310
36279869,43298918
80415061,72708174
67152671,2229784
69883900,84526043
15903471,9558505
36465177,59660264
87609471,36791502
23463854,39058534
68166199,22062924
68891711,56052357
30314982,26714417
8547127,89812024
98620554,83805822
34827882,19912233
24737855,10245173
8019800,20230135
70706438,55326013
45193801,29132104
80894378,73516243
36467647,6998831
34082582,66267721
64292080,65156924
51100320,99873281
92212038,12651496
16304090,93355556
82778984,15941699
52470641,6556361
16100054,37636605
86132558,31352947
43596646,77072404
68322369,4908205
50870206,32341619
75924196,64077473
39407402,10232760
20813059,41899271
54172564,28448972
94029254,3896571
22443429,33199062
23386916,41621912
35225908,18004085
18578996,47591066
39880098,30483041
50558339,29752387
58395918,33736085
71753294,35831225
62450870,94735637
42209959,79642231
6981957,13181540
15684084,54183775
45299392,6077995
3077635,10993985
97192244,97637818
90832497,5305391
40385782,19658780
21460769,15989904
19070696,75144225
66997093,15257740
56524869,68159697
62168163,27510795
66455512,71547992
17237213,53932073
51174645,51635456
96500452,39603625
73561083,6584865
783694,4470064
5191463,14387758
2093693,67715906
99557082,32850045
53035065,88169625
79528085,3663770
92535791,34089812
22626176,2752796
14710858,11777096
28196442,58606500
24763991,42594874
87651413,29668498
65912643,73746393
73900266,25893784
58058735,88173979
99082147,47456657
85914598,87861307
36533176,37547312
40939411,15835942
31295041,8959431
77401891,75781260
88139476,64257779
75715830,85707811
28811110,75206412
21249147,25536112
94484535,6670912
95546453,71327933
64224797,31482724
63454812,57148866
14763098,51033289
35418581,45821644
70835839,71619267
91103295,99597175
92240562,83765291
23226587,71449786
22256540,10977678
69669100,60766763
26657547,17752248
79905802,77069445
56298012,74661839
64622195,30910527
83001970,1140376
36989839,98413314
41878751,43863154
47116366,11276887
78983595,6062927
4004552,34156051
27672580,33799989
72696652,40767414
49794248,763403
79839708,90815972
5476618,56576887
53183214,11560615
35565520,35989245
83722016,8693301
48277289,25840893
91288325,60474182
50880814,1844527
78843450,91885417
67877272,94946488
46543713,28011067
89956680,55725642
54024309,8012505
16226128,4980526
98959821,30292578
26883107,29166361
9774022,38721611
80014323,9039645
3200309,18083046
62079960,14347417
27667000,16104541
95302733,39447879
81857936,40492858
22935276,99713085
78926747,14041398
9292650,3728865
4539386,17586503
45134351,79250353
62974517,37354935
5629012,211046
42589018,29526474
89598494,48126087
21784120,91891687
71320853,35927380
13032131,33919059
15426273,39917484
81409824,72900464
34482658,44962465
82089040,6862527
93056367,14128034
7238857,3787089
10233804,90986296
76406818,44051666
52305888,22709203
89891226,48337252
45998018,70623898
59385571,38485257
3172516,69349185
78948505,66120061
43313742,90230863
78929457,73034715
82886582,5724982
81531867,95353654
72043340,23932670
78626809,54578497
9416900,49883990
32113950,29901082
87369904,66744710
12729017,22055303
25864291,38207105
89776432,83631389
10006474,43766306
57488357,72451987
55822028,59381896
22044810,40431639
59504560,25985288
74760217,97635856
94005146,49815771
8559391,88752802
70810974,5677504
26075446,65339277
99331837,92797338
33063627,33923864
40024650,45292184
83150780,90567796
86924942,65171809
52766025,65829318
34330766,30880027
15557878,58304578
20074673,47520354
46336687,28610308
11668936,6049203
93701206,67250333
43954110,4322968
4028761,10775827
79695109,54190964
2687122,69961560
2338664,93307363
3904237,65522463
63584911,52985192
51445014,18739490
41433660,58454651
29782991,94618902
6387897,43718662
61759323,43523256
55196209,1314640
94813923,5707764
43973178,90647124
81353234,8403874
76635428,79020482
2860657,66969968
15833392,19495866
92656980,86319478
44412187,65851119
21978356,3101191
11697460,13095449
81604814,75730491
43580811,21990648
36613724,89470156
58211834,63499107
44538272,75387790
53524586,93513002
33689535,25083394
19895844,56393096
42894573,6081950
16098780,54982190
51635444,48449651
83699174,55665006
77076852,11534551
57346106,978133
64619274,41217484
35308677,80407487
48758718,88376267
89090227,24281225
45813173,70693962
44218832,9944401
77040830,92592524
67586591,68473242
98030621,97482341
87420253,4670442
11936949,85343128
30791777,99975866
83752186,69561222
89551865,6858035
46916036,85800871
79269959,46982151
65719557,62491598
92063230,2689064
96659022,67210008
49237386,9386253
8225912,38199443
1260782,524244
89856569,43405222
29826024,94823016
79482538,70232553
53387645,79906403
50535880,55795082
29687442,38509523
51174308,53675454
85269501,8986362
14702249,92790295
1514825,86057120
24658062,72949233
87876124,19462727
87796766,48952837
54398788,3015389
58815294,43912580
15896786,76604914
53071439,65922746
57748299,25839100
88745693,54849889
53428117,51640126
20892332,4103973
52844123,82328004
57433274,20982503
15478888,65344921
29606210,84993808
58349031,36299863
20405169,1322446
28529291,9582991
94810822,24990363
13212499,18918883
2445712,92825771
85342172,60443453
70448153,80385566
106250,10374463
147789,38702839
24726657,37896725
62352406,4509438
51744644,68974362
36664239,91130926
96586724,87647072
1081871,85694110
45793860,81804226
14872411,1609565
16334082,50890883
48811012,4749935
91624342,83943952
39907517,7904374
75288554,59121740
72901623,28438173
10053914,29322798
58570308,49936934
13274881,52304426
66769025,7080299
73703362,52144801
51771327,83153504
43970298,92156852
13332702,30975688
51788348,39436817
992947,78577929
45342798,18934388
50217045,60148770
14281903,7111895
17904788,4346049
62767671,55589973
67941810,49100077
45265146,77904627
94679615,27197745
10049416,77631446
13505578,97790623
24349164,42886344
10811939,3732932
27572455,76914746
29268466,41369759
80696992,10284327
29339714,59740821
40009304,53370754
13981499,93891140
95078274,75558330
44040722,80615055
86732006,34999592
67475677,30538931
74988097,8610647
13282978,7226218
95979293,32849147
77198460,75460482
8840306,37193904
18044558,47371847
12552550,5151513
4476254,17055161
10639232,83344900
70991041,72933584
19711978,80804686
62078979,2290140
9686944,89706427
87928980,75880923
70103514,97321639
32359160,15794951
33345209,35238679
55458789,62100939
80359879,65517950
7117827,36079012
3455222,29261171
1937496,84257182
40279067,90425450
6600574,1770340
4389562,6345665
98978731,67066709
89036218,50468024
13492393,50800888
69138173,52376671
56784217,84980558
57545755,9726561
62576407,67956211
25643531,32430684
10674702,4645609
7363896,7743283
87068065,70005392
73339000,881860
45034578,26446053
80551081,17661604
37997491,75864945
7355536,95285314
94407608,60289565
10788177,78631476
89577433,98992805
89825800,20009791
37356507,76608848
64000990,91102633
12637611,4330320
56577105,15165638
75596875,55639433
47385581,76869275
73283823,55282427
25871857,93830319
67670519,9283910
7827473,31814766
11429820,81399109
54117159,65230484
18105077,62679641
82094886,12756282
24123257,67576383
35201180,41188399
5225775,69379645
98913975,16346067
44526565,7737702
54964113,54416969
43780503,33840255
84927151,53507963
33110486,59775112
8747382,63057589
62338195,43728013
92007953,73658951
27465227,89606021
82888485,25331854
45609169,54367353
57750372,67627364
45021535,82533826
35481380,99237110
63732263,14571636
30768570,33754749
18963875,99644269
80679587,4028097
48132932,8856369
75203381,2757070
44691099,40197382
19163220,7773504
86795465,1825189
93287719,87394892
29722708,51504210
77684002,35367417
71642589,7432898
95112783,95727191
29361032,63382419
93145102,87885666
11664454,12683612
33281489,64754493
63339760,68057230
11344452,35564851
14840350,58610181
49941029,99298904
4451930,30747655
13638097,22100234
19054397,10741628
13059922,77206991
49395509,59941184
64000218,442847
60842482,14694156
12078401,81561481
83539153,59978334
5968519,71453726
79278496,95231217
57891509,99251798
4297398,25924912
22570595,2886941
42291856,49712613
36061329,39757774
4653676,63334613
6647619,19065513
90389795,40025126
94477908,45259501
22729547,815978
74518417,51780212
56476412,861825
74719585,76045950
17246307,7557377
85971620,78057220
12824413,66940719
25616040,41395754
52041140,773296
79745887,17867
21698691,6276759
19348124,6910163
15896273,39680397
68051494,62606364
25818660,85270730
76871568,61224284
5361136,23432240
88734511,54750499
93668579,20580290
30498386,27627261
57974435,72021337
87635074,30194986
51070142,4756683
82805905,1385468
74448436,37959037
50504744,74467195
47927815,95270563
99430497,73895606
14721189,14817209
7533107,40789070
29091256,47516666
60212726,33082592
35305514,49219974
60316318,19665073
27561252,81748622
88969361,10520375
58946135,68059142
4677728,72429844
37425192,84572927
84020506,49918961
47997041,8832892
74692986,17485113
93658062,91112822
36364160,43279496
67293298,2325021
28256555,99794440
25853131,75182413
47905579,64236565
51741563,22463501
64371053,45402132
83437535,12497753
79857846,69765384
99248603,3338450
71921573,94232748
14623826,9338320
26851634,41034178
80806287,8684189
24446862,19862638
92736036,27696407
54591410,45206595
51178793,70360247
80039645,44065373
32404409,10250596
83036681,64312332
89036177,24562249
45540159,40022339
15182115,8927310
81281603,41248642
52269671,92128295
71126590,36378689
88624709,29441508
10475204,11476135
50896709,10347434
88950218,7966296
2213099,42369025
84620999,34106008
8870122,25854229
23563735,21588843
87016672,9908467
73027335,64124853
82913938,2700566
88803394,12261168
66845697,36312892
5722771,97118192
17107560,31181695
89286153,27201334
17847513,14976537
31848162,42769962
3313057,6414155
17974845,51385628
12473694,86364059
40569715,46577761
12469089,82447585
48721420,34550708
13935494,10258235
86356057,15307529
42391814,32033681
65160239,94125509
43981392,29376921
88089561,1338913
98508487,92634554
52589003,15444998
62251381,82133339
64307409,28347216
42672221,96188742
2098080,75483869
81857685,83196594
19260020,30919285
47481586,35044908
4018220,6319796
5687490,49603494
13875264,10018423
63343705,95980461
79070057,72360044
72533451,87897808
78764537,80954230
47976493,52895632
81404557,89723967
86650756,1717210
68662208,3642192
71872544,59622843
37989822,97211497
77849770,91218849
89326251,92823748
38788716,24449448
49004979,4737780
83816038,369801
63496521,71864725
47730876,9282132
94638817,25425271
39212949,987665
66824025,48166102
62943247,67444654
39143181,64759163
5418828,4731714
10311221,20757419
9925484,56554299
34571714,70148231
75772472,35344645
79217469,9957717
39464931,49814051
7695378,73888944
18484965,30061367
66997781,25236830
38374019,75575338
12043923,80226883
90815933,35498790
457106,53706958
41279348,35922037
55278439,45116023
93113512,70554825
61128053,4284866
57254339,99214371
68367828,76877859
13445042,20654509
56295511,29586352
53589888,93372767
98915320,22644661
13744876,51590923
64992294,82462913
2987927,41204930
41840697,8518967
69342873,77741729
27443739,48778478
59253601,25882020
10348933,4133818
76831942,57692888
43223177,76401953
2493734,95387480
84944649,80451257
67372940,96056139
17640538,88781568
94597893,7473184
25194486,34706907
13588580,89645638
94913285,63024747
33105943,99298365
15120301,93519812
24037792,67502479
48668856,87369491
36031797,50014812
18045446,55983851
3065240,37963362
72068147,70348647
84717111,21528245
16050292,92423495
72338235,44087681
86943176,30448640
25465511,87279693
23843941,74904699
812127,289636
24667709,39720805
1105995,5363761
83923682,4003798
70896755,61817626
49971536,45940970
4680234,71112873
78245342,13029188
97983403,77039724
26448671,21030641
62315214,87186631
15889072,79794118
54256917,31970325
85554437,5093621
96662194,12662322
90401341,22203635
56975366,30476951
53862897,88348233
50899547,92737645
6687505,72675454
21014345,84185673
78491559,69846697
82526406,4335510
66303021,60918783
33653796,19068276
35246512,4957996
87533431,58919029
14430395,85907126
25769994,55529275
49174288,52625911
81603797,5718489
81529925,13276556
51593925,46957640
76082747,80075262
64628516,4736233
3801030,17653973
36609595,7696105
54537971,6276884
79720522,22863417
40836334,50088608
78578479,11520159
16708646,49609495
99105853,37925031
11884841,78240279
38699215,93566534
18736888,96023713
26871828,5368817
12288789,20357622
22881817,38944556
63055020,52991064
53706824,6432174
18826762,82975609
43595586,19884740
82571292,91752449
6270630,25890820
40072123,8416154
44853578,5005957
98143524,65840669
17940500,66197142
1215431,62504657
22434549,95273261
18627128,31432388
88919962,8696010
18108159,70417111
99257381,83295394
47255437,14942981
68148657,78684015
14631774,76194974
57675096,76060920
32360268,7767026
4497514,8436465
81140078,67176300
25300404,73686140
1833224,43555911
77026819,7831153
99395456,10273042
78200953,20356192
24748110,80228067
24094115,40179002
80954616,21731944
37326623,77091984
41250660,31754965
37632600,81384989
96650881,15758839
65156585,96186651
21045575,21039950
39691626,43041311
5417504,60432110
49741694,16324693
7533212,81801090
26480869,6490071
94710894,12085708
61121319,23673245
67187831,37424453
55204867,79272487
23992130,46330321
43748026,77680926
52629300,93078359
52071261,44522436
98054577,7542211
11417589,71591797
77191503,98064933
6585060,55392128
51726351,320228
91937217,94742000
68672549,82264180
73461894,94329881
50946117,61149898
5996765,76789856
27033228,67880822
76859559,56270625
69597725,43965120
64966638,4014224
53276920,40441551
88131562,26155509
2173004,13669384
86247978,45613322
68864386,88153328
8265496,69584085
3531529,1472885
66473572,3861419
1613888,5934055
24342912,48809500
50256818,5913754
70517139,5961812
3474611,97362057
18462677,97557171
17648289,43039786
77339244,97659406
80031279,24354471
31062682,50906645
75459540,36653959
97286188,91739297
72124771,81955507
8265033,58035790
67092253,61775642
99370626,51137532
76261406,60582357
17384942,8497825
68164282,84330123
33396904,63105817
32709516,66588449
17808451,84056035
27406473,63422151
91300021,20617520
94376980,11483888
18807824,40068117
69740300,54933194
64715836,64269983
42337250,95834832
65888262,30453267
90240613,97801243
57012036,7572246
35913253,79927708
48064612,4708587
3431853,36486930
54688644,75001093
88283140,14023112
62970690,54718351
55448030,70755979
69571235,90588723
87689626,27525287
74216345,3679902
86704024,44876032
7099425,23796743
1829961,6078277
16838699,55915181
10676229,85634502
67098388,29150799
15518325,11215437
16631372,3775552
3580948,5757183
50194319,98726739
98891412,211016
74656058,29233850
4816434,92550820
78189731,37803709
12960354,84113248
1207976,5908851
79806556,59616201
24840161,65146411
35449139,94113804
28669566,68293862
22817689,94405627
60652582,6382157
12526118,43389590
6777666,85131347
19915345,91195226
24161177,4135639
37007958,36734872
70820618,2411355
91613100,39575053
37070492,85235446
29240526,73878625
1956986,3209819
93999352,17500386
61615,86650206
25571706,61845484
77713742,42172485
67482603,44469333
97368182,61121979
92876152,85150347
50081267,96837002
32275854,527386
74325299,78874095
20234088,42915928
30263121,57227255
63406030,64296678
64684589,5818385
15722950,47312792
10969459,6681403
90659870,57796158
38286879,81289983
34360971,59268424
22954422,65707893
14070873,10131490
72820072,77318166
62537558,43356488
40994729,87082398
57797134,44600651
45921046,19265020
22956197,87944024
29698003,80572423
53529844,51177518
24802991,8794583
95464739,65153297
54024319,92263716
30050468,679820
57689525,71166724
41248044,23269761
83432012,3703288
64950416,22464155
34832285,3938535
34931627,78582001
52467160,18329156
7617041,2357712
33688293,93042778
52447029,72506457
59698170,5786167
40758099,79281722
5472083,63153833
94425934,25103340
68339634,7094413
30670203,29174773
87230440,23972299
49628459,85606770
50056239,16585089
30952773,2099933
8579216,90383009
40370928,8802984
96950813,38530400
17607081,20756113
17462688,87335866
42006054,65247084
33676457,778037
21006987,41529509
64841898,2296040
75982460,5158352
9659620,80232466
81657609,21580471
83948613,7344747
17652310,4673759
10862883,97849525
24704387,59862465
74392922,81751792
94264261,29828873
72360015,21072339
35237289,44338080
26956542,23857861
61099940,71717056
60935617,27793802
64376665,50294145
67660341,83752753
114735,43769279
62728364,23445699
19276235,79541374
27135779,11802672
48986357,89308047
88877599,30165370
87431846,77988244
54474126,2811904
54843274,41800288
29449772,77502890
8650641,41723424
6564054,18786284
5135248,17715932
34279703,38457079
20503538,19828616
23499852,93808931
55353421,73219012
81767236,81905029
43881191,34717323
52561109,48831804
14282425,3255915
40078111,19171682
7046142,5591716
17331492,25452888
7213357,4107872
43736580,29256382
39677839,94714846
61314675,25385979
9348478,5762037
17393103,92103957
5350919,23741946
75051721,90059337
87373534,12801680
49873495,42647723
85922159,39890554
66224370,2802621
83504783,40859412
23729541,1375674
60766639,11721627
45003355,9197249
82511352,93728980
92833752,1743721
40712798,37608711
45616720,14252427
46003993,99787233
17466163,10570209
33913182,13448919
7872223,67212027
91112691,70166183
81197976,18859202
92068084,98081722
3610273,92738020
91584716,5985827
46730986,10208802
89309603,8890806
99824437,27327727
48410673,77701385
15727160,13722758
3604253,84344905
99656639,42597232
25983471,33667637
51190797,45824784
26068221,15138146
16649605,26382505
26991392,41073408
60882314,46254779
84076657,16121481
91782321,43892093
95373502,49454263
12456705,20047570
87092303,93504343
94661139,93826077
636368,79688777
32063307,43866921
6495611,18216228
41914901,85150268
64923254,88923622
16880779,69108853
450060,78069310
34495822,91587915
46702238,59079073
64425407,94464925
24016004,62585586
60193218,95607971
46193506,66893713
35235872,12583520
57696990,59392062
96143289,31042821
45551549,59272110
17695004,77340238
66565133,67806445
46003415,29202184
10835652,71062313
90881084,57796066
30107603,16251682
99128421,34736495
78524703,63674660
58943793,66207972
91700097,50046348
96528078,64249586
78153719,3647821
88807013,44494866
44999103,2806886
47616620,94528636
79055505,7863145
